age,job,marital,education,default,housing,loan,month,day_of_week,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y,year,previous_cat,campaign_cat
56,1,1,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
57,2,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
37,2,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
40,3,1,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,2,1,2,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
45,2,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
59,3,1,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,4,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
24,5,2,5,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
25,2,2,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,4,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
25,2,2,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
29,4,2,2,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
57,1,3,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,4,1,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
54,6,1,4,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,4,1,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
46,4,1,3,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
50,4,1,4,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,7,2,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
30,8,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
55,4,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
55,6,2,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,5,2,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
37,3,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,5,1,6,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
59,5,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,9,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
54,5,2,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
55,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
46,3,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
59,5,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
49,4,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
54,7,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
54,4,3,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
55,3,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
34,2,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
52,5,1,4,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,5,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
58,7,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
32,10,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
38,3,2,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
57,3,1,6,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
44,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,5,2,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
57,3,1,6,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
40,4,1,4,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
45,4,1,4,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
54,3,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,1,1,1,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
60,3,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
53,3,2,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
55,4,1,1,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
55,5,1,5,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
50,7,1,6,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
45,2,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
55,8,1,5,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
25,5,2,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
47,10,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
51,4,1,4,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,4,1,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,4,1,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
48,3,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
37,3,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
44,4,2,4,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
33,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,3,1,4,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
44,4,2,1,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,7,1,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
44,7,3,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
47,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
57,3,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
37,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,4,3,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,1,2008,1,1
55,5,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
