job,marital,education,default,housing,loan,month,day_of_week,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y,age_group,year,previous_cat,campaign_cat
1,1,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
2,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
2,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
3,1,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,3,2008,1,1
2,1,2,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
2,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,3,2008,1,1
3,1,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
4,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,3,2008,1,1
5,2,5,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,4,2008,1,1
2,2,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,4,2008,1,1
4,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,3,2008,1,1
2,2,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,4,2008,1,1
4,2,2,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,4,2008,1,1
1,3,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
4,1,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
6,1,4,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
4,1,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
4,1,3,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,3,2008,1,1
4,1,4,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
7,2,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
8,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
4,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
6,2,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
5,2,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,3,2008,1,1
3,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
5,1,6,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
5,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
9,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
5,2,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,1,2008,1,2
3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
3,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,3,2008,1,1
5,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
4,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,3,2008,1,1
7,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
4,3,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
3,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
2,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
5,1,4,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,3,2008,1,1
5,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
7,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,1,2008,1,1
10,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2,2008,1,1
